"tBodyAcc.mean...X","tBodyAcc.mean...Y","tBodyAcc.mean...Z","tBodyAcc.std...X","tBodyAcc.std...Y","tBodyAcc.std...Z","activity","Type"
0.32179415,-0.02848843,-0.14481572,-0.23959216,0.011689639,-0.36847044,"WALKING","Train"
0.26108077,-0.015635621,-0.10258842,-0.17123888,0.20123607,-0.26158873,"WALKING","Train"
0.25643361,-0.019301241,-0.10237117,-0.43567423,-0.17540807,-0.44496585,"WALKING","Train"
0.24898582,-0.053664698,-0.25543912,-0.32976142,0.19176801,-0.26289072,"WALKING","Train"
0.34790061,-0.018431216,-0.14247895,-0.32100965,-0.07744757,-0.42110701,"WALKING","Train"
0.29097148,-0.027810418,-0.042982545,-0.1393703,0.038038012,-0.26684056,"WALKING","Train"
0.1801943,-0.017796846,-0.039347036,-0.37654341,0.023526725,-0.24705158,"WALKING","Train"
0.256935,-0.010577401,-0.10544192,-0.23004356,0.18733455,-0.16425491,"WALKING","Train"
0.29855414,0.00079445569,-0.040695674,-0.19810732,-0.0046376926,-0.18503809,"WALKING","Train"
0.22247974,-0.0062025184,-0.079425955,-0.35657301,0.24885114,-0.32057072,"WALKING","Train"
0.21875287,-0.030280572,-0.12122729,-0.25203401,-0.10614225,-0.3333992,"WALKING","Train"
0.23398475,0.0077570244,-0.087513687,-0.37757179,0.058069745,-0.33323408,"WALKING","Train"
0.24608919,-0.016175423,-0.11188336,-0.22179285,0.067040367,-0.30151426,"WALKING","Train"
0.22251789,-0.015582132,-0.10349692,-0.2890912,0.24541959,-0.3089648,"WALKING","Train"
0.30583985,-0.0021923253,-0.12497137,-0.30930011,0.19143432,-0.31795237,"WALKING","Train"
0.20201055,-0.0090379452,-0.079095855,-0.2207697,0.12313624,-0.22163812,"WALKING","Train"
0.30363491,-0.014656769,-0.042613832,-0.21530926,0.12091731,-0.2186594,"WALKING","Train"
0.35919361,-0.018079718,-0.07234686,-0.26279787,0.057066065,-0.24801678,"WALKING","Train"
0.33156003,-0.0074950152,-0.13173868,-0.24591692,0.10293816,-0.23307559,"WALKING","Train"
0.20356167,-0.03050523,-0.13709513,-0.2469644,0.29855783,-0.20575302,"WALKING","Train"
